2026-06-24 15:18:46,933 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 76","parameters":{"retry_after":76}}
2026-06-24 15:18:47,021 | INFO | Position 425: breakeven reached after 2 favorable candles -- stop moved to entry price 779.77, Stage 3 trailing active.
2026-06-24 15:18:47,031 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=425 (total trades completed: 425)
2026-06-24 15:18:47,574 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 76","parameters":{"retry_after":76}}
2026-06-24 15:18:47,632 | INFO | Attempting to open BUY trade: volume=0.842 lots, risk target=1.0% of $1000.00, stop_distance=1.5087%
2026-06-24 15:18:47,632 | INFO | ✅ TRADE OPENED: BUY position_id=426 volume=0.842 entry≈786.79
2026-06-24 15:18:48,171 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 75","parameters":{"retry_after":75}}
2026-06-24 15:18:48,266 | INFO | Position 426: breakeven reached after 2 favorable candles -- stop moved to entry price 786.79, Stage 3 trailing active.
2026-06-24 15:18:48,275 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=426 (total trades completed: 426)
2026-06-24 15:18:48,685 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 75","parameters":{"retry_after":75}}
2026-06-24 15:18:49,509 | INFO | Attempting to open BUY trade: volume=0.636 lots, risk target=1.0% of $1000.00, stop_distance=2.0036%
2026-06-24 15:18:49,509 | INFO | ✅ TRADE OPENED: BUY position_id=427 volume=0.636 entry≈783.60
2026-06-24 15:18:50,148 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 73","parameters":{"retry_after":73}}
2026-06-24 15:18:50,226 | INFO | Position 427: breakeven reached after 2 favorable candles -- stop moved to entry price 783.60, Stage 3 trailing active.
2026-06-24 15:18:50,234 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=427 (total trades completed: 427)
2026-06-24 15:18:50,779 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 72","parameters":{"retry_after":72}}
2026-06-24 15:18:50,999 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.2645%
2026-06-24 15:18:50,999 | INFO | ✅ TRADE OPENED: BUY position_id=428 volume=2.0 entry≈782.57
2026-06-24 15:18:51,589 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 72","parameters":{"retry_after":72}}
2026-06-24 15:18:51,601 | INFO | 🔚 TRADE CLOSED (initial or breakeven stop hit): position_id=428 (total trades completed: 428)
2026-06-24 15:18:52,261 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 71","parameters":{"retry_after":71}}
2026-06-24 15:18:52,288 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.5718%
2026-06-24 15:18:52,288 | INFO | ✅ TRADE OPENED: BUY position_id=429 volume=2.0 entry≈780.02
2026-06-24 15:18:52,844 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 70","parameters":{"retry_after":70}}
2026-06-24 15:18:52,861 | INFO | Position 429: breakeven reached after 2 favorable candles -- stop moved to entry price 780.02, Stage 3 trailing active.
2026-06-24 15:18:52,869 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=429 (total trades completed: 429)
2026-06-24 15:18:53,279 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 70","parameters":{"retry_after":70}}
2026-06-24 15:18:53,354 | INFO | Attempting to open SELL trade: volume=0.867 lots, risk target=1.0% of $1000.00, stop_distance=1.4930%
2026-06-24 15:18:53,354 | INFO | ✅ TRADE OPENED: SELL position_id=430 volume=0.867 entry≈772.25
2026-06-24 15:18:53,781 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 69","parameters":{"retry_after":69}}
2026-06-24 15:18:53,799 | INFO | Position 430: breakeven reached after 2 favorable candles -- stop moved to entry price 772.25, Stage 3 trailing active.
2026-06-24 15:18:53,849 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=430 (total trades completed: 430)
2026-06-24 15:18:54,293 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 69","parameters":{"retry_after":69}}
2026-06-24 15:18:54,338 | INFO | Attempting to open SELL trade: volume=1.524 lots, risk target=1.0% of $1000.00, stop_distance=0.8607%
2026-06-24 15:18:54,338 | INFO | ✅ TRADE OPENED: SELL position_id=431 volume=1.524 entry≈762.21
2026-06-24 15:18:54,897 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 68","parameters":{"retry_after":68}}
2026-06-24 15:18:54,930 | INFO | Position 431: breakeven reached after 2 favorable candles -- stop moved to entry price 762.21, Stage 3 trailing active.
2026-06-24 15:18:54,975 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=431 (total trades completed: 431)
2026-06-24 15:18:55,515 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 68","parameters":{"retry_after":68}}
2026-06-24 15:18:55,988 | INFO | Attempting to open BUY trade: volume=1.453 lots, risk target=1.0% of $1000.00, stop_distance=0.8876%
2026-06-24 15:18:55,988 | INFO | ✅ TRADE OPENED: BUY position_id=432 volume=1.453 entry≈775.13
2026-06-24 15:18:56,532 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 67","parameters":{"retry_after":67}}
2026-06-24 15:18:56,559 | INFO | Position 432: breakeven reached after 2 favorable candles -- stop moved to entry price 775.13, Stage 3 trailing active.
2026-06-24 15:18:56,576 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=432 (total trades completed: 432)
2026-06-24 15:18:57,057 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 66","parameters":{"retry_after":66}}
2026-06-24 15:18:57,083 | INFO | Attempting to open BUY trade: volume=0.773 lots, risk target=1.0% of $1000.00, stop_distance=1.6523%
2026-06-24 15:18:57,083 | INFO | ✅ TRADE OPENED: BUY position_id=433 volume=0.773 entry≈781.95
2026-06-24 15:18:57,497 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 66","parameters":{"retry_after":66}}
2026-06-24 15:18:57,562 | WARNING | Trend reversal detected while position open: position=BUY expected trend=UP, current trend=DOWN. Closing position early.
2026-06-24 15:18:57,562 | INFO | 🔚 TRADE CLOSED (trend reversed to DOWN): position_id=433 (total trades completed: 433)
2026-06-24 15:18:57,999 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 65","parameters":{"retry_after":65}}
2026-06-24 15:18:58,892 | INFO | Attempting to open SELL trade: volume=1.972 lots, risk target=1.0% of $1000.00, stop_distance=0.6888%
2026-06-24 15:18:58,892 | INFO | ✅ TRADE OPENED: SELL position_id=434 volume=1.972 entry≈736.03
2026-06-24 15:18:59,326 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 64","parameters":{"retry_after":64}}
2026-06-24 15:18:59,354 | INFO | Position 434: breakeven reached after 2 favorable candles -- stop moved to entry price 736.03, Stage 3 trailing active.
2026-06-24 15:18:59,361 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=434 (total trades completed: 434)
2026-06-24 15:18:59,918 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 63","parameters":{"retry_after":63}}
2026-06-24 15:18:59,945 | INFO | Attempting to open SELL trade: volume=1.067 lots, risk target=1.0% of $1000.00, stop_distance=1.2805%
2026-06-24 15:18:59,946 | INFO | ✅ TRADE OPENED: SELL position_id=435 volume=1.067 entry≈731.73
2026-06-24 15:19:00,355 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 63","parameters":{"retry_after":63}}
2026-06-24 15:19:00,383 | INFO | Position 435: breakeven reached after 2 favorable candles -- stop moved to entry price 731.73, Stage 3 trailing active.
2026-06-24 15:19:00,391 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=435 (total trades completed: 435)
2026-06-24 15:19:00,829 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 62","parameters":{"retry_after":62}}
2026-06-24 15:19:00,957 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.1921%
2026-06-24 15:19:00,957 | INFO | ✅ TRADE OPENED: SELL position_id=436 volume=2.0 entry≈739.11
2026-06-24 15:19:01,369 | WARNING | Telegram notification failed (status 429): {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 62","parameters":{"retry_after":62}}
2026-06-24 15:19:01,380 | INFO | 🔚 TRADE CLOSED (initial or breakeven stop hit): position_id=436 (total trades completed: 436)
